otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Holiday Inn Antalya Lara,16906.5,7,400.0,0.0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,Antalya , Lara-Örnekköy 
Oba Star Hotel Spa,8716.5,35,50.0,0.0,0,1,0,0,2,0,1,3,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Antalya , Alanya-Obagöl 
Prenses Sealine Beach Hotel,13425.5,35,200.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,Antalya , Belek-Boğazkent 
Stella Hotel Kemer,12105.0,63,100.0,0.0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Çamyuva 
The Corner Park Hotel,17442.0,19,,0.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,Antalya , Konyaaltı 
A11 Hotel Obaköy,7257.0,130,50.0,1.0,0,1,0,1,1,0,0,5,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,Antalya , Alanya-Obagöl 
Akra V,15897.6,15,300.0,0.0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,Antalya , Lara 
Arsi Enfi City Beach Hotel,10044.6,127,,0.0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,Antalya , Alanya 
Blue Diamond Alya Hotel,11372.4,125,,0.0,0,1,1,1,2,0,1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,Antalya , Alanya 
Kleopatra Ada Beach Hotel,10800.0,118,,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,Antalya , Alanya 
