otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Çınar Butik Kaş,"9.021,00 TL",9000-11000,Antalya - Kaş ,"148 km, Dalaman HA ",100 - 200 Metre Arası,Halk Plajı,Yok,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Değirmenburnu Residence,"15.697,92 TL",15000-17000,Bodrum - Bodrum Merkez ,"45 km, Milas HA ",300 - 400 Metre Arası,Halk Plajı,Yok,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Doria Hotel Yacht Club,"61.020,00 TL",+33000,Antalya - Kaş ,"150 km, Dalaman HA ",Denize Sıfır,Özel Plaj,Var,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Düşler Evim,"11.995,20 TL",11000-13000,Antalya - Kaş ,"160 km, Dalaman HA ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Elysium Green Suites Lara,"17.691,72 TL",17000-19000,Antalya - Lara ,"5 km, Antalya ",750 Metre ve Üzeri,Özel Plaj,Yok,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
En Vie Beach Boutique Hotel,"15.032,16 TL",15000-17000,Antalya - Alanya ,"38 km, Gazipaşa(Alanya) HA ",Denize Sıfır,Özel Plaj,Yok,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Falcon 1511,"16.200,00 TL",15000-17000,Antalya - Lara-Lara Yolu ,"17 km, Antalya ",100 - 200 Metre Arası,Yok,Yok,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hildegard Hotel,"14.322,05 TL",13000-15000,Antalya - Alanya ,"120 km, Antalya HA ",No Info,Halk Plajı,Yok,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Hotel Gold Stone,"6.750,00 TL",5000-7000,Antalya - Kemer-Beldibi ,"No Info km, No Info",No Info,Mavi Bayraklı Halk Plajı,Yok,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Karyatit Hotel,"10.121,52 TL",9000-11000,Antalya - Kaleiçi ,"12 km, Antalya ",200 - 300 Metre Arası,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
