"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
436,Bitez Tiny House,"13.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13123/1050X700/tsr13123638197752007119191.jpg,"","13000-15000",Bodrum - Bitez ,"41 km, Milas ",Denize Sıfır (Aradan Yol Geçiyor),Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
439,Bodrum Marma Otel,"19.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11213/1050X700/tsr11213637321282264720288.jpg,"7,7","19000-21000",Bodrum - Bodrum Merkez ,"40 km, Milas ","750 Metre ve Üzeri",Yok,Yok,"0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
520,Afflon Hotels Loft City,"9.356,36 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11350/1050X700/tsr11350637454419061050345.jpg,"","9000-11000",Antalya - Antalya Merkez-Muratpaşa ,"12 km, Antalya ","600 - 750 Metre Arası",Halk Plajı,Yok,"1","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
438,Blue White Hotel,"13.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/08601/1050X700/tsr08601638145667314391280.jpg,"","13000-15000",Antalya - Çıralı ,"110 km, Antalya HA ","50 - 100 Metre Arası",Özel Plaj,Yok,"0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","1"
437,Blue Time Boutique Hotel,"2.529,53 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13177/1050X700/tsr13177638210609209922659.jpg,"",+33000,Marmaris - Selimiye ,"No Info km, No Info",No Info,Halk Plajı,Yok,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
109,Tu Casa Gelidonya Hotel,"11.424,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07682/1050X700/tsr07682638180107016337038.jpg,"7,7","11000-13000",Antalya - Kemer-Merkez ,"58 km, Antalya HA ","200 - 300 Metre Arası",Özel Plaj,Yok,"0","0","1","1","2","1","0","4","0","0","1","0","0","1","1","0","0","1","1","1","0","0","1","0","1","1","1","1","1"
173,Hotel Terrace Elite Resort,"14.392,49 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03856/1050X700/tsr03856637910632274082951.jpg,"7,7","13000-15000",Antalya - Side ,"52 km, Antalya HA ","500 - 600 Metre Arası",Özel Plaj,Yok,"2","1","1","1","1","0","1","3","1","0","1","0","0","1","1","1","1","0","1","1","0","0","1","0","0","1","1","1","1"
226,Club Kastalia Holiday Village,"19.488,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01811/1050X700/tsr01811637248944600125066.jpg,"8,4","19000-21000",Antalya - Alanya-Konaklı ,"113 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"0","1","1","1","2","0","0","3","1","0","1","0","0","1","1","1","1","0","1","1","0","0","1","0","0","1","1","1","0"
541,Yörük Ali Yayla Evleri,"13.220,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12582/1050X700/tsr12582638212101785550764.jpg,"","13000-15000",Antalya - ibradı ,"No Info km, No Info",No Info,Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
440,Bu Bungalow Hotel,"11.900,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13676/1050X700/tsr13676638400583630242078.jpg,"","11000-13000",Antalya - Demre ,"150 km, Antalya ","750 Metre ve Üzeri",Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
