otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Kempinski Hotel Barbaros Bay,"52.293,60 TL",+33000,Bodrum - Yalıçiftlik ,"38 km, BodrumHA",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
Lonicera Resort Spa Hotel,"21.017,70 TL",21000-23000,Antalya - Alanya-Avsallar ,"98 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,1,1,1,1,4,2,1,11,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Modern Saraylar Halal Hotel Spa,"15.345,00 TL",15000-17000,Antalya - Alanya-Avsallar ,"103 km, Antalya HA ",750 Metre ve Üzeri,Mavi Bayraklı Özel Plaj,Yok,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1
Sailors Beach Club,"20.808,00 TL",19000-21000,Antalya - Kemer-Kiriş ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,2,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Seaden Quality Resort,"35.955,00 TL",+33000,Antalya - Side-Bingeşik ,"64 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Sentido Kamelya Fulya Hotel,"30.723,00 TL",29000-31000,Antalya - Side-Çolaklı ,"55 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,5,1,1,1,8,4,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Sentido Kamelya Selin Hotel,"31.744,44 TL",29000-33000,Antalya - Side-Çolaklı ,"55 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,6,1,1,1,5,2,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Hedef Beach Resort Spa,"18.450,00 TL",17000-19000,Antalya - Alanya-Konaklı ,"100 km, Antalya HA ",100 - 200 Metre Arası,Özel Plaj,Yok,3,0,1,1,1,1,1,5,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0
Seashell Resort Spa Hotel,"31.900,80 TL",29000-33000,Antalya - Side-Evrenseki ,"55 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,3,1,1,1,1,1,1,4,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
Side Star Beach,"19.744,48 TL",19000-21000,Antalya - Side-Manavgat ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,3,1,1,1,1,0,1,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
